"constituency","constituency_no","district","district_no"
"Naujamiesčio",1,"Gedimino",2
"Naujamiesčio",1,"Saltoniškių",3
"Naujamiesčio",1,"Sėlių",4
"Naujamiesčio",1,"Liubarto",5
"Naujamiesčio",1,"Vytauto",6
"Naujamiesčio",1,"Birutės",7
"Naujamiesčio",1,"Pamėnkalnio",8
"Naujamiesčio",1,"Taurakalnio",10
"Naujamiesčio",1,"S. Konarskio",12
"Naujamiesčio",1,"Mindaugo",13
"Naujamiesčio",1,"Vytenio",15
"Naujamiesčio",1,"Naugarduko",16
"Naujamiesčio",1,"Algirdo",17
"Naujamiesčio",1,"Naujininkų",457
"Naujamiesčio",1,"Brolių",458
"Naujamiesčio",1,"Gimnazijos",459
"Senamiesčio",2,"Dailės",51
"Senamiesčio",2,"Užupio",52
"Senamiesčio",2,"A. Krutulio",53
"Senamiesčio",2,"A. Juozapavičiaus",54
"Senamiesčio",2,"Didlaukio",55
"Senamiesčio",2,"Licėjaus",56
"Senamiesčio",2,"Senvagės",57
"Senamiesčio",2,"V. Sirokomlės",59
"Senamiesčio",2,"S. Nėries",60
"Senamiesčio",2,"Naugarduko",62
"Senamiesčio",2,"A.Vienuolio",65
"Senamiesčio",2,"M. Daukšos",66
"Senamiesčio",2,"V. Šopeno",67
"Senamiesčio",2,"Baltupių",203
"Antakalnio",3,"Filaretų",101
"Antakalnio",3,"Olandų",102
"Antakalnio",3,"L. Sapiegos",104
"Antakalnio",3,"Šilo",105
"Antakalnio",3,"Antakalnio",107
"Antakalnio",3,"Švyturio",109
"Antakalnio",3,"B. Sruogos",111
"Antakalnio",3,"Saulėtekio",112
"Antakalnio",3,"Markučių",115
"Antakalnio",3,"Liepkalnio",116
"Antakalnio",3,"Karačiūnų",119
"Antakalnio",3,"Antavilių",120
"Antakalnio",3,"Balsių",200
"Antakalnio",3,"Popieriaus",201
"Žirmūnų",4,"Muitininkų",24
"Žirmūnų",4,"Žirmūnų",151
"Žirmūnų",4,"Kareivių",152
"Žirmūnų",4,"Prekybininkų",153
"Žirmūnų",4,"Miestelio",154
"Žirmūnų",4,"Moksleivių",155
"Žirmūnų",4,"Raitininkų",156
"Žirmūnų",4,"Sporto",157
"Žirmūnų",4,"Kazliškių",158
"Žirmūnų",4,"Rinktinės",159
"Žirmūnų",4,"Tuskulėnų",160
"Žirmūnų",4,"Trimitų",161
"Žirmūnų",4,"Minties",162
"Žirmūnų",4,"Asiūklių",163
"Žirmūnų",4,"Apkasų",164
"Žirmūnų",4,"Verkių",165
"Žirmūnų",4,"Kalvarijų",166
"Fabijoniškių",5,"Mokyklos",202
"Fabijoniškių",5,"Fabijoniškių",205
"Fabijoniškių",5,"S. Stanevičiaus",207
"Fabijoniškių",5,"Kaimelio",208
"Fabijoniškių",5,"L. Giros",209
"Fabijoniškių",5,"P. Žadeikos",210
"Fabijoniškių",5,"Gedvydžių",211
