"Partija","Kandidatas1","Kandidatas2","Koreliacija"
"Lietuvos lenkų rinkimų akcija","Andžej DYNDA","Honorata ŠAPELIENĖ",0.967274217721746
"Lietuvos socialdemokratų partija","Edmundas JONYLA","Ona BABONIENĖ",0.929118302453788
"Lietuvos socialdemokratų partija","Darius PETROŠIUS","Pranas PETROŠIUS",0.895693774799551
"Lietuvos lenkų rinkimų akcija","Andrius ŠARĖJUS","Edvard VORŠINSKI",0.892920285361946
"Lietuvos socialdemokratų partija","Antanas NESTECKIS","Raminta POPOVIENĖ",0.871883207922718
"Lietuvos lenkų rinkimų akcija","Honorata ČAIKAUSKIENĖ","Valerija ŠIMIANEC",0.863621968187623
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Povilas BALČIŪNAS","Vilhelminas JANUŠONIS",0.855952521367582
"Lietuvos valstiečių ir žaliųjų sąjunga","Gipoldas KARKLELIS","Juozas RIMKUS",0.839045484204675
"Darbo partija","Arvydas SABOCKIS","Žilvinas PUTRAMENTAS",0.833210213616259
"Darbo partija","Aurimas TRUNCĖ","Raimundas MARKAUSKAS",0.824681525966388
"Darbo partija","Arvydas SABOCKIS","Gintaras TAMOŠIŪNAS",0.81364258144912
"Lietuvos socialdemokratų partija","Edmundas JONYLA","Gintautas MIKOLAITIS",0.812723574200894
"Lietuvos valstiečių ir žaliųjų sąjunga","Izidorius ŠIMKUS","Juozas RIMKUS",0.811598383397177
"Lietuvos socialdemokratų partija","Nikolajus GUSEVAS","Petras PAPOVAS",0.810279438448907
"Lietuvos socialdemokratų partija","Albinas EŽERSKIS","Genovaitė EŽERSKIENĖ",0.808896998578296
"Lietuvos valstiečių ir žaliųjų sąjunga","Albertas BRAZAS","Juozas RIMKUS",0.807467578211287
"Lietuvos socialdemokratų partija","Gintautas MIKOLAITIS","Ona BABONIENĖ",0.802821196588275
"Lietuvos valstiečių ir žaliųjų sąjunga","Gipoldas KARKLELIS","Izidorius ŠIMKUS",0.784189761790701
"Lietuvos socialdemokratų partija","Jonas JURKUS","Laima NAGIENĖ",0.782780602597207
"Respublikonų partija","Alina LITVINOVIČ","Stanislav LITVINOVIČ",0.761718989814578
"Lietuvos žmonių partija","Darjuš LAVRINOVIČ","Kšištof LAVRINOVIČ",0.759486962942642
"Lietuvos lenkų rinkimų akcija","Andžej ANDRUŠKEVIČ","Zdzislav PALEVIČ",0.754106720895823
"Lietuvos lenkų rinkimų akcija","Kristina GRODZ","Marija ZECHAR",0.751714149840963
"Lietuvos socialdemokratų partija","Arūnas EIMUTIS","Darius JASAITIS",0.744036963445369
"Lietuvos lenkų rinkimų akcija","Beata PAŠKOVSKA","Galina ZACIŠKO",0.744024383095562
"Lietuvos valstiečių ir žaliųjų sąjunga","Albertas BRAZAS","Izidorius ŠIMKUS",0.740386932019214
"Darbo partija","Gintaras TAMOŠIŪNAS","Žilvinas PUTRAMENTAS",0.739975750840369
"Darbo partija","Jonas PINSKUS","Živilė PINSKUVIENĖ",0.737484098635158
"Lietuvos socialdemokratų partija","Dainius BUDRYS","Valerijonas KUBILIUS",0.731074210426726
"Tėvynės sąjunga - Lietuvos krikščionys demokratai","Agneta LADEK","Liutauras DIRSĖ",0.727402076869732
"Lietuvos valstiečių ir žaliųjų sąjunga","Albertas BRAZAS","Gipoldas KARKLELIS",0.726800748373255
"Darbo partija","Arūnas LUKOŠEVIČIUS","Metas RAŽINSKAS",0.724947832934624
"Lietuvos socialdemokratų partija","Jonas JUOZAPAITIS","Vygantas SUDARIS",0.721017584402398
"Lietuvos socialdemokratų partija","Asta JASIŪNIENĖ","Jonas JUOZAPAITIS",0.71862493811944
